Order_ID,Order_Date,Customer_ID,Customer_Type,Product,Category,Region,Quantity,Revenue,Profit,Profit Category
1001,06/01/2026,C001,New Customer,Laptop,Electronics,Delhi,1,"₹65,000","₹8,000",Profit
1002,06/03/2026,C002,Repeat Customer,Phone,Electronics,Delhi,2,"₹50,000","₹6,000",Profit
1003,28/02/2026,C003,Repeat Customer,Headphones,Electronics,Mumbai,1,"₹5,000","₹1,200",Profit
1004,06/05/2026,C004,Repeat Customer,Chair,Furniture,Bangalore,3,"₹12,000","₹2,500",Profit
1005,07/03/2026,C314,Repeat Customer,Vacuum Cleaner,Home,Delhi,0,"₹8,506","₹1,455",Profit
1006,18/05/2026,C359,Repeat Customer,Chair,Furniture,Chennai,1,"₹4,307",₹892,Profit
1007,08/02/2026,C241,Repeat Customer,Headphones,Electronics,Kolkata,6,"₹39,396","₹7,334",Profit
1008,15/01/2026,C314,Repeat Customer,Camera,Electronics,Hyderabad,6,"₹374,814","₹51,761",Profit
1009,30/05/2026,C290,Repeat Customer,Bookshelf,Furniture,Chennai,2,"₹22,960","₹5,742",Profit
1010,22/05/2026,C447,Repeat Customer,Desk,Furniture,Mumbai,2,"₹26,696","₹6,419",Profit
1011,08/11/2026,C026,Repeat Customer,Makeup Kit,Beauty,Delhi,5,"₹20,375","₹7,418",Profit
1012,13/08/2026,UNKNOWN,Repeat Customer,Shoes,Apparel,Kolkata,3,"₹6,969","₹2,075",Profit
1013,13/04/2026,C470,Repeat Customer,Makeup Kit,Beauty,Chennai,5,"₹20,680","₹7,568",Profit
1014,05/12/2026,C446,Repeat Customer,Jeans,Apparel,Not Specified,2,"₹3,440",₹867,Profit
1015,26/01/2026,C241,Repeat Customer,Camera,Electronics,Kolkata,5,"₹288,810","₹42,477",Profit
1016,24/01/2026,C310,Repeat Customer,Tablet,Electronics,Mumbai,5,"₹148,500","₹16,484",Profit
1017,18/02/2026,C141,Repeat Customer,Speaker,Electronics,Chennai,2,"₹17,140",₹744,Profit
1018,31/01/2026,C097,Repeat Customer,Microwave,Home,Hyderabad,6,"₹60,828","₹10,647",Profit
1019,19/01/2026,C242,Repeat Customer,Microwave,Home,Kolkata,1,"₹11,868","₹2,064",Profit
1020,01/03/2026,C184,Repeat Customer,Microwave,Home,Delhi,2,"₹26,576","₹5,208",Profit
1021,08/05/2026,C289,Repeat Customer,Skincare Set,Beauty,Delhi,2,"₹3,766","₹1,170",Profit
1022,22/05/2026,C044,Repeat Customer,Table,Furniture,Delhi,2,"₹32,876","₹6,342",Profit
1023,24/07/2026,C476,Repeat Customer,Sofa,Furniture,Bangalore,1,"₹44,455","₹8,790",Profit
1024,28/04/2026,C476,Repeat Customer,Laptop,Electronics,Mumbai,3,"₹258,822","₹33,163",Profit
1025,03/08/2026,C359,Repeat Customer,Chair,Furniture,Mumbai,0,"₹4,582",₹926,Profit
1026,07/04/2026,C265,Repeat Customer,Table,Furniture,Delhi,4,"₹46,652","₹9,568",Profit
1027,04/08/2026,C157,Repeat Customer,Camera,Electronics,Bangalore,6,"₹249,834","₹34,927",Profit
1028,13/02/2026,C409,Repeat Customer,Cookware Set,Home,Kolkata,5,"₹441,450","₹89,593",Profit
1029,07/03/2026,C352,Repeat Customer,Skincare Set,Beauty,Hyderabad,1,"₹3,876","₹1,283",Profit
1030,24/05/2026,C081,Repeat Customer,Chair,Furniture,Mumbai,1,"₹3,873",₹764,Profit
1031,03/12/2026,C449,Repeat Customer,Jeans,Apparel,Kolkata,5,"₹12,735","₹3,881",Profit
1032,30/05/2026,C412,Repeat Customer,Chair,Furniture,Bangalore,5,"₹18,300","₹3,632",Profit
1033,28/03/2026,C470,Repeat Customer,Microwave,Home,Chennai,3,"₹29,676","₹5,674",Profit
1034,28/03/2026,C369,Repeat Customer,Makeup Kit,Beauty,Mumbai,2,"₹7,096","₹2,772",Profit
1035,03/03/2026,C306,Repeat Customer,T-Shirt,Apparel,Bangalore,4,"₹1,276",₹325,Profit
1036,04/12/2026,C221,Repeat Customer,Microwave,Home,Mumbai,3,"₹33,129","₹5,845",Profit
1037,01/04/2026,C465,Repeat Customer,Microwave,Home,Hyderabad,2,"₹13,338","₹2,108",Profit
1038,08/07/2026,C438,Repeat Customer,Tablet,Electronics,Chennai,6,"₹180,384","₹22,751",Profit
1039,01/03/2026,C026,Repeat Customer,Table,Furniture,Chennai,4,"₹61,344","₹12,901",Profit
1040,19/04/2026,C012,Repeat Customer,Chair,Furniture,Hyderabad,5,"₹24,840","₹5,754",Profit
1041,06/02/2026,C197,Repeat Customer,Desk,Furniture,Hyderabad,3,"₹27,354","₹6,502",Profit
1042,05/01/2026,C409,Repeat Customer,Camera,Electronics,Bangalore,2,"₹79,618","₹10,513",Profit
1043,06/05/2026,C476,Repeat Customer,Phone,Electronics,Bangalore,4,"₹77,904","₹8,105",Profit
1044,14/02/2026,C074,Repeat Customer,Shoes,Apparel,Chennai,4,"₹13,740","₹4,383",Profit
1045,30/01/2026,C297,Repeat Customer,T-Shirt,Apparel,Chennai,4,"₹2,392",₹666,Profit
1046,06/03/2026,C198,Repeat Customer,Table,Furniture,Pune,1,"₹8,718","₹1,984",Profit
1047,13/03/2026,C476,Repeat Customer,Bookshelf,Furniture,Kolkata,1,"₹5,875","₹1,450",Profit
1048,22/03/2026,C421,Repeat Customer,Vacuum Cleaner,Home,Pune,1,"₹11,700","₹2,183",Profit
1049,14/08/2026,C420,Repeat Customer,Kurta,Apparel,Pune,1,"₹1,946",₹576,Profit
1050,30/06/2026,C243,Repeat Customer,Vacuum Cleaner,Home,Kolkata,6,"₹39,564","₹6,373",Profit
1051,30/09/2026,C220,Repeat Customer,Jacket,Apparel,Mumbai,2,"₹6,142","₹1,903",Profit
1052,23/03/2026,C141,Repeat Customer,Skincare Set,Beauty,Chennai,4,"₹12,024","₹4,006",Profit
1053,17/06/2026,C034,Repeat Customer,Kurta,Apparel,Chennai,6,"₹5,466","₹1,386",Profit
1054,25/06/2026,C438,Repeat Customer,Table,Furniture,Bangalore,4,"₹66,584","₹13,735",Profit
1055,25/05/2026,C409,Repeat Customer,Makeup Kit,Beauty,Delhi,1,"₹4,114","₹1,593",Profit
1056,30/03/2026,C480,Repeat Customer,Speaker,Electronics,Delhi,4,"₹23,780","₹4,537",Profit
1057,28/02/2026,C479,Repeat Customer,T-Shirt,Apparel,Hyderabad,3,"₹1,509",₹506,Profit
1058,23/04/2026,C273,Repeat Customer,Sofa,Furniture,Pune,5,"₹206,385","₹40,154",Profit
1059,07/11/2026,C391,Repeat Customer,Smartwatch,Electronics,Delhi,3,"₹49,845","₹7,937",Profit
1060,04/06/2026,C468,Repeat Customer,Jeans,Apparel,Delhi,2,"₹4,854","₹1,604",Profit
1061,25/01/2026,C428,Repeat Customer,Laptop,Electronics,Kolkata,5,"₹282,480","₹26,350",Profit
1062,24/04/2026,C131,Repeat Customer,Kurta,Apparel,Chennai,6,"₹12,156","₹3,548",Profit
1063,13/01/2026,C238,Repeat Customer,Desk,Furniture,Delhi,3,"₹41,760","₹9,671",Profit
1064,29/01/2026,C068,Repeat Customer,Smartwatch,Electronics,Pune,1,"₹9,788","₹2,025",Profit
1065,06/07/2026,C472,Repeat Customer,Laptop,Electronics,Bangalore,2,"₹147,182","₹13,313",Profit
1066,06/12/2026,C306,Repeat Customer,Skincare Set,Beauty,Kolkata,6,"₹5,562","₹1,935",Profit
